"C:\Program Files\Java\jdk-9.0.1\bin\java" -Dvisualvm.id=170415548485161 -Xms1024m -Xmx4096m "-javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.4\lib\idea_rt.jar=53735:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.4\bin" -Dfile.encoding=UTF-8 -classpath C:\Users\Kenneth\Dropbox\Code\IdeaProjects\BasicClassifier\project-1\out\production\BasicClassifier;C:\Users\Kenneth\Dropbox\Code\IdeaProjects\BasicClassifier\project-1\lib\libsvm.jar me.mostly.ml.test.sp500.Main ../project-2/data/transposed.csv
Odd val: AES, [180 (10/1/01)] = -0.682890669
Odd val: AGN, [214 (11/16/01)] = -0.502027397
Odd val: AAL, [287 (3/6/02)] = -0.507707996
Odd val: AAL, [381 (7/19/02)] = -0.511579962
Odd val: AAL, [398 (8/13/02)] = -0.512563474
Odd val: AAL, [449 (10/24/02)] = -0.505660048
Odd val: AAL, [546 (3/17/03)] = -0.657192509
Odd val: AAL, [547 (3/18/03)] = 1.109702861
Odd val: AIG, [1934 (9/18/08)] = -0.936258159
Odd val: AIG, [1936 (9/22/08)] = -0.60391605
Odd val: BIIB, [1041 (3/3/05)] = -0.554316174
Odd val: COF, [382 (7/22/02)] = -0.506880832
Odd val: CNC, [211 (11/13/01)] = -0.550718729
Odd val: CNP, [386 (7/26/02)] = -0.54834081
Odd val: CERN, [562 (4/8/03)] = -0.598942459
Odd val: CF, [894 (8/3/04)] = -0.544917668
Odd val: CF, [940 (10/7/04)] = -0.551746781
Odd val: CF, [948 (10/19/04)] = -0.568613595
Odd val: CF, [952 (10/25/04)] = -0.643440236
Odd val: CF, [957 (11/1/04)] = -0.537393938
Odd val: CF, [1022 (2/3/05)] = -0.626675246
Odd val: CF, [1028 (2/11/05)] = -0.751471949
Odd val: CF, [1036 (2/24/05)] = -0.556689885
Odd val: CF, [1043 (3/7/05)] = -0.508930224
Odd val: CI, [453 (10/30/02)] = -0.541695682
Odd val: ETFC, [1723 (11/15/07)] = -0.883651139
Odd val: EVHC, [4004 (12/7/16)] = 1.130144199
Odd val: EQIX, [65 (4/11/01)] = -0.552104366
Odd val: FITB, [1944 (10/2/08)] = -0.57316632
Odd val: FSLR, [15 (1/30/01)] = -0.855940659
Odd val: FSLR, [27 (2/15/01)] = -0.736269266
Odd val: FSLR, [31 (2/22/01)] = -0.722848748
Odd val: FSLR, [1412 (8/22/06)] = -0.606698007
Odd val: GGP, [1947 (10/7/08)] = -0.65555969
Odd val: GGP, [1950 (10/10/08)] = -0.543614853
Odd val: GGP, [1971 (11/10/08)] = -0.690920226
Odd val: GGP, [1975 (11/14/08)] = -1.028160744
Odd val: GGP, [2082 (4/22/09)] = -0.526820637
Odd val: HAL, [231 (12/12/01)] = -0.552447281
Odd val: HIG, [1967 (11/4/08)] = -0.724863467
Odd val: INCY, [1189 (10/3/05)] = -0.528007379
Odd val: INCY, [1317 (4/6/06)] = -0.519724459
Odd val: JCI, [1630 (7/6/07)] = -0.764559863
Odd val: LNC, [1981 (11/24/08)] = -0.508908533
Odd val: LKQ, [98 (5/30/01)] = -0.509500243
Odd val: LKQ, [172 (9/19/01)] = -0.510328606
Odd val: NFLX, [7 (1/18/01)] = -0.702011797
Odd val: NFLX, [18 (2/2/01)] = -0.520509194
Odd val: NFLX, [25 (2/13/01)] = -0.558811337
Odd val: NFLX, [32 (2/23/01)] = -0.897085279
Odd val: NFLX, [33 (2/26/01)] = -0.916291043
Odd val: NFLX, [37 (3/2/01)] = -1.526982908
Odd val: NFLX, [41 (3/8/01)] = -1.479678445
Odd val: NFLX, [42 (3/9/01)] = 1.423086915
Odd val: NFLX, [44 (3/13/01)] = -0.994767488
Odd val: NFLX, [70 (4/19/01)] = 1.050730712
Odd val: NFLX, [76 (4/27/01)] = -0.510825624
Odd val: NFLX, [78 (5/1/01)] = -0.648363856
Odd val: NFLX, [80 (5/3/01)] = -0.657593165
Odd val: NFLX, [90 (5/17/01)] = -0.708606881
Odd val: NFLX, [126 (7/10/01)] = -0.986986293
Odd val: NFLX, [129 (7/13/01)] = -0.866519333
Odd val: NFLX, [133 (7/19/01)] = -0.744415035
Odd val: NFLX, [136 (7/24/01)] = -0.862204152
Odd val: NFLX, [144 (8/3/01)] = -0.728594093
Odd val: NFLX, [158 (8/23/01)] = -0.536720473
Odd val: NFLX, [161 (8/28/01)] = -1.604420941
